Fips,Area,county,Estimates Base (4/1/2010),2018,population
19001,Adair County,Adair,"7,682","7,074",7152
19003,Adams County,Adams,"4,029","3,644",3602
19005,Allamakee County,Allamakee,"14,328","13,852",13687
19007,Appanoose County,Appanoose,"12,887","12,401",12426
19009,Audubon County,Audubon,"6,119","5,471",5496
19011,Benton County,Benton,"26,069","25,625",25645
19013,Black Hawk County,Black Hawk,"131,086","131,723",131228
19015,Boone County,Boone,"26,308","26,312",26234
19017,Bremer County,Bremer,"24,280","24,941",25062
19019,Buchanan County,Buchanan,"20,953","21,178",21175
19021,Buena Vista County,Buena Vista,"20,265","19,826",19620
19023,Butler County,Butler,"14,869","14,525",14439
19025,Calhoun County,Calhoun,"10,177","9,711",9668
19027,Carroll County,Carroll,"20,816","20,153",20165
19029,Cass County,Cass,"13,952","12,948",12836
19031,Cedar County,Cedar,"18,441","18,564",18627
19033,Cerro Gordo County,Cerro Gordo,"44,153","42,642",42450
19035,Cherokee County,Cherokee,"12,067","11,295",11235
19037,Chickasaw County,Chickasaw,"12,442","11,952",11933
19039,Clarke County,Clarke,"9,286","9,502",9395
19041,Clay County,Clay,"16,667","16,106",16016
19043,Clayton County,Clayton,"18,128","17,540",17549
19045,Clinton County,Clinton,"49,117","46,437",46429
19047,Crawford County,Crawford,"17,096","17,089",16820
19049,Dallas County,Dallas,"66,139","89,953",93453
19051,Davis County,Davis,"8,753","8,972",9000
19053,Decatur County,Decatur,"8,456","7,890",7870
19055,Delaware County,Delaware,"17,770","17,081",17011
19057,Des Moines County,Des Moines,"40,325","39,149",38967
19059,Dickinson County,Dickinson,"16,667","17,121",17258
19061,Dubuque County,Dubuque,"93,643","96,922",97311
19063,Emmet County,Emmet,"10,302","9,277",9208
19065,Fayette County,Fayette,"20,882","19,679",19650
19067,Floyd County,Floyd,"16,293","15,752",15642
19069,Franklin County,Franklin,"10,680","10,085",10070
19071,Fremont County,Fremont,"7,438","6,981",6960
19073,Greene County,Greene,"9,337","8,965",8888
19075,Grundy County,Grundy,"12,453","12,272",12232
19077,Guthrie County,Guthrie,"10,955","10,720",10689
19079,Hamilton County,Hamilton,"15,675","14,886",14773
19081,Hancock County,Hancock,"11,338","10,710",10630
19083,Hardin County,Hardin,"17,534","16,937",16846
19085,Harrison County,Harrison,"14,937","14,105",14049
19087,Henry County,Henry,"20,145","20,033",19954
19089,Howard County,Howard,"9,564","9,172",9158
19091,Humboldt County,Humboldt,"9,814","9,559",9558
19093,Ida County,Ida,"7,089","6,846",6860
19095,Iowa County,Iowa,"16,356","16,155",16184
19097,Jackson County,Jackson,"19,853","19,427",19439
19099,Jasper County,Jasper,"36,842","37,189",37185
19101,Jefferson County,Jefferson,"16,840","18,256",18295
19103,Johnson County,Johnson,"130,882","150,549",151140
19105,Jones County,Jones,"20,636","20,673",20681
19107,Keokuk County,Keokuk,"10,510","10,213",10246
19109,Kossuth County,Kossuth,"15,545","14,878",14813
19111,Lee County,Lee,"35,862","33,909",33657
19113,Linn County,Linn,"211,243","225,763",226706
19115,Louisa County,Louisa,"11,387","11,153",11035
19117,Lucas County,Lucas,"8,900","8,617",8600
19119,Lyon County,Lyon,"11,581","11,815",11755
19121,Madison County,Madison,"15,681","16,206",16338
19123,Mahaska County,Mahaska,"22,382","22,018",22095
19125,Marion County,Marion,"33,307","33,259",33253
19127,Marshall County,Marshall,"40,648","39,888",39369
19129,Mills County,Mills,"15,059","15,068",15109
19131,Mitchell County,Mitchell,"10,776","10,571",10586
19133,Monona County,Monona,"9,242","8,659",8615
19135,Monroe County,Monroe,"7,972","7,768",7707
19137,Montgomery County,Montgomery,"10,740","9,961",9917
19139,Muscatine County,Muscatine,"42,803","42,874",42664
19141,Obrien County,Obrien,"14,398","13,798",13753
19143,Osceola County,Osceola,"6,462","6,028",5958
19145,Page County,Page,"15,946","15,229",15107
19147,Palo Alto County,Palo Alto,"9,421","8,903",8886
19149,Plymouth County,Plymouth,"24,984","25,024",25177
19151,Pocahontas County,Pocahontas,"7,310","6,714",6619
19153,Polk County,Polk,"430,631","485,833",490161
19155,Pottawattamie County,Pottawattamie,"93,149","93,264",93206
19157,Poweshiek County,Poweshiek,"18,915","18,467",18504
19159,Ringgold County,Ringgold,"5,130","4,940",4894
19161,Sac County,Sac,"10,350","9,705",9721
19163,Scott County,Scott,"165,223","172,803",172943
19165,Shelby County,Shelby,"12,169","11,559",11454
19167,Sioux County,Sioux,"33,704","34,802",34855
19169,Story County,Story,"89,542","96,781",97117
19171,Tama County,Tama,"17,767","16,869",16854
19173,Taylor County,Taylor,"6,317","6,160",6121
19175,Union County,Union,"12,534","12,298",12241
19177,Van Buren County,Van Buren,"7,571","7,013",7044
19179,Wapello County,Wapello,"35,624","34,991",34969
19181,Warren County,Warren,"46,226","51,014",51466
19183,Washington County,Washington,"21,704","22,058",21965
19185,Wayne County,Wayne,"6,403","6,405",6441
19187,Webster County,Webster,"38,011","36,339",35904
19189,Winnebago County,Winnebago,"10,874","10,539",10354
19191,Winneshiek County,Winneshiek,"21,058","20,017",19991
19193,Woodbury County,Woodbury,"102,175","102,515",103107
19195,Worth County,Worth,"7,591","7,413",7381
19197,Wright County,Wright,"13,229","12,690",12562